genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.1	PA14_00010	VBIPseAer79785_0001	Q02V80	489	2027	+	1539	dnaA	Chromosomal replication initiator protein DnaA	FIG00000441	PLF_286_00000311	PGF_00417881			
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.2	PA14_00020	VBIPseAer79785_0002	Q02V79	2056	3159	+	1104	dnaN	DNA polymerase III beta subunit (EC 2.7.7.7)	FIG00066425	PLF_286_00000473	PGF_00421501	GO:0003887|DNA-directed DNA polymerase activity	2.7.7.7|DNA-directed DNA polymerase	00230|Purine metabolism;00240|Pyrimidine metabolism
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.3	PA14_00030	VBIPseAer79785_0003	Q02V78	3169	4278	+	1110	recF	DNA recombination and repair protein RecF	FIG00000412	PLF_286_00001097	PGF_00421733			
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.4	PA14_00050	VBIPseAer79785_0004	Q02V77	4275	6695	+	2421	gyrB	DNA gyrase subunit B (EC 5.99.1.3)	FIG00028203	PLF_286_00000231	PGF_00421264	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.5	PA14_00060	VBIPseAer79785_0005	Q02V76	7018	7791	-	774		Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	FIG00005243	PLF_286_00002530	PGF_00033589	GO:0003841|1-acylglycerol-3-phosphate O-acyltransferase activity	2.3.1.51|1-acylglycerol-3-phosphate O-acyltransferase	00561|Glycerolipid metabolism;00564|Glycerophospholipid metabolism
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.6	PA14_00070	VBIPseAer79785_0006	Q02V75	7803	8357	-	555		Histidinol-phosphatase (EC 3.1.3.15)	FIG01955817	PLF_286_00003227	PGF_00011987	GO:0004401|histidinol-phosphatase activity	3.1.3.15|Histidinol-phosphatase	00340|Histidine metabolism
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.7	PA14_00080	VBIPseAer79785_0007	Q02V74	8671	10377	+	1707		hypothetical protein	FIG00956318	PLF_286_00003494	PGF_00078543			
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.8	PA14_00090	VBIPseAer79785_0008	Q02V73	10434	12491	-	2058	glyS	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	FIG00000448	PLF_286_00000192	PGF_00009970	GO:0004820|glycine-tRNA ligase activity	6.1.1.14|Glycine--tRNA ligase	00970|Aminoacyl-tRNA biosynthesis
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.9	PA14_00100	VBIPseAer79785_0009	Q02V72	12488	13435	-	948	glyQ	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	FIG00000458	PLF_286_00000606	PGF_00009967	GO:0004820|glycine-tRNA ligase activity	6.1.1.14|Glycine--tRNA ligase	00970|Aminoacyl-tRNA biosynthesis
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.10	PA14_00110	VBIPseAer79785_0010	Q02V71	13540	14091	+	552	tag	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	FIG00000673	PLF_286_00000744	PGF_00421928	GO:0008725|DNA-3-methyladenine glycosylase I activity	3.2.2.20|DNA-3-methyladenine glycosylase I	
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.11	PA14_00120	VBIPseAer79785_0011	Q02V70	14236	15123	+	888		Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)	FIG00000545	PLF_286_00000703	PGF_00017061		2.3.1.241|Kdo(2)-lipid IV(A) lauroyltransferase	
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.12	PA14_00130	VBIPseAer79785_0012	Q02V69	15286	15474	+	189		hypothetical protein	FIG00954044	PLF_286_00002288	PGF_00247988			
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.13	PA14_00140	VBIPseAer79785_0013	Q02V68	15621	16274	+	654		Putative preQ0 transporter YhhQ	FIG00002792	PLF_286_00002091	PGF_00043331			
208963.12	Pseudomonas aeruginosa UCBPP-PA14	NC_008463	PATRIC	CDS	fig|208963.12.peg.14	PA14_00160	VBIPseAer79785_0014	Q02V66	16923	17240	-	318		FIG140336: TPR domain protein	FIG01304537	PLF_286_00003877	PGF_00003613			
